id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built
7129300520,20141013T000000,221900,3,1,1180,5650,1,3,7,1955
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,3,7,1951
5631500400,20150225T000000,180000,2,1,770,10000,1,3,6,1933
2487200875,20141209T000000,604000,4,3,1960,5000,1,5,7,1965
1954400510,20150218T000000,510000,3,2,1680,8080,1,3,8,1987
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,1,3,11,2001
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,3,7,1995
2008000270,20150115T000000,291850,3,1.5,1060,9711,1,3,7,1963
2414600126,20150415T000000,229500,3,1,1780,7470,1,3,7,1960
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,3,7,2003
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,3,8,1965
9212900260,20140527T000000,468000,2,1,1160,6000,1,4,7,1942
114101516,20140528T000000,310000,3,1,1430,19901,1.5,4,7,1927
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,4,7,1977
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,3,7,1900
9297300055,20150124T000000,650000,4,3,2950,5000,2,3,9,1979
1875500060,20140731T000000,395000,3,2,1890,14040,2,3,7,1994
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,4,7,1916
16000397,20141205T000000,189000,2,1,1200,9850,1,4,7,1921
7983200060,20150424T000000,230000,3,1,1250,9774,1,4,7,1969
6300500875,20140514T000000,385000,4,1.75,1620,4980,1,4,7,1947
2524049179,20140826T000000,2.00E+06,3,2.75,3050,44867,1,3,9,1968
7137970340,20140703T000000,285000,5,2.5,2270,6300,2,3,8,1995
8091400200,20140516T000000,252700,2,1.5,1070,9643,1,3,7,1985
3814700200,20141120T000000,329000,3,2.25,2450,6500,2,4,8,1985
1202000200,20141103T000000,233000,3,2,1710,4697,1.5,5,6,1941
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,3,8,1915
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,5,8,1909
5101402488,20140624T000000,438000,3,1.75,1520,6380,1,3,7,1948
1873100390,20150302T000000,719000,4,2.5,2570,7173,2,3,8,2005
8562750320,20141110T000000,580500,3,2.5,2320,3980,2,3,8,2003
2426039314,20141201T000000,280000,2,1.5,1190,1265,3,3,7,2005
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5,4,7,1929
7589200193,20141110T000000,535000,3,1,1090,3000,1.5,4,8,1929
7955080270,20141203T000000,322500,4,2.75,2060,6659,1,3,7,1981
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5,3,8,1930
9435300030,20140528T000000,550000,4,1,1660,34848,1,1,5,1933
2768000400,20141230T000000,640000,4,2,2360,6000,2,4,8,1904
7895500070,20150213T000000,240000,4,1,1220,8075,1,2,7,1969
2078500320,20140620T000000,605000,4,2.5,2620,7553,2,3,8,1996
5547700270,20140715T000000,625000,4,2.5,2570,5520,2,3,9,2000
7766200013,20140811T000000,775000,4,2.25,4220,24186,1,3,8,1984
7203220400,20140707T000000,861990,5,2.75,3595,5639,2,3,9,2014
9270200160,20141028T000000,685000,3,1,1570,2280,2,3,7,1922
1432701230,20140729T000000,309000,3,1,1280,9656,1,4,6,1959
8035350320,20140718T000000,488000,3,2.5,3160,13603,2,3,8,2003
8945200830,20150325T000000,210490,3,1,990,8528,1,3,6,1966
4178300310,20140716T000000,785000,4,2.5,2290,13416,2,4,9,1981
9215400105,20150428T000000,450000,3,1.75,1250,5963,1,4,7,1953
822039084,20150311T000000,1.35E+06,3,2.5,2753,65005,1,5,9,1953
5245600105,20140916T000000,228000,3,1,1190,9199,1,3,7,1955
7231300125,20150217T000000,345000,5,2.5,3150,9134,1,4,8,1966
7518505990,20141231T000000,600000,3,1.75,1410,4080,1,4,7,1950
3626039271,20150205T000000,585000,2,1.75,1980,8550,1,3,7,1981
4217401195,20150303T000000,920000,5,2.25,2730,6000,1.5,3,8,1927
9822700295,20140512T000000,885000,4,2.5,2830,5000,2,3,9,1995
9478500640,20140819T000000,292500,4,2.5,2250,4495,2,3,7,2008
2799800710,20150407T000000,301000,3,2.5,2420,4750,2,3,8,2003
7922800400,20140827T000000,951000,5,3.25,3250,14342,2,4,8,1968
8079040320,20150223T000000,430000,4,3,1850,9976,2,3,8,1991
1516000055,20141210T000000,650000,3,2.25,2150,21235,1,4,8,1959
9558200045,20140828T000000,289000,3,1.75,1260,8400,1,3,7,1954
5072410070,20141021T000000,505000,3,1.75,2519,8690,2,5,8,1973
9528102996,20141207T000000,549000,3,1.75,1540,1044,3,3,8,2014
1189001180,20140603T000000,425000,3,2.25,1660,6000,1,3,7,1979
3253500160,20141120T000000,317625,3,2.75,2770,3809,1.5,5,7,1925
3394100030,20140909T000000,975000,4,2.5,2720,11049,2,3,10,1989
3717000160,20141009T000000,287000,4,2.5,2240,4648,2,3,7,2005
1274500060,20140825T000000,204000,3,1,1000,12070,1,4,7,1968
1802000060,20140612T000000,1.33E+06,5,2.25,3200,20158,1,3,8,1965
1525059190,20140912T000000,1.04E+06,5,3.25,4770,50094,1,4,11,1973
1049000060,20150105T000000,325000,3,2,1260,5612,1,4,7,1972
8820901275,20140610T000000,571000,4,2,2750,7807,1.5,5,7,1916
5416510140,20140710T000000,360000,4,2.5,2380,5000,2,3,8,2005
3444100400,20150316T000000,349000,3,1.75,1790,50529,1,5,7,1965
3276920270,20141105T000000,832500,4,4,3430,35102,2,4,10,1986
4036801170,20141013T000000,380000,4,1.75,1760,7300,1,3,7,1956
2391600320,20150420T000000,480000,3,1,1040,5060,1,3,7,1941
6300000287,20140609T000000,410000,3,1,1410,5060,1,4,7,1956
1531000030,20150323T000000,720000,4,2.5,3450,39683,2,3,10,2002
5104520400,20141202T000000,390000,3,2.5,2350,5100,2,3,8,2003
7437100340,20141222T000000,360000,4,2.5,1900,5889,2,3,7,1992
9418400240,20141028T000000,355000,2,1,2020,6720,1,3,7,1948
1523059105,20150128T000000,356000,3,1.5,1680,8712,1,3,8,1964
1133000671,20140602T000000,315000,3,1,960,6634,1,3,6,1952
4232902595,20141114T000000,940000,3,1.5,2140,3600,2,3,9,1925
2599001200,20141103T000000,305000,5,2.25,2660,8400,1.5,5,7,1961
3342103156,20140618T000000,461000,3,3.25,2770,6278,2,3,9,2006
1332700270,20140519T000000,215000,2,2.25,1610,2040,2,4,7,1979
3869900162,20140904T000000,335000,2,1.75,1030,1066,2,3,7,2006
2791500270,20140522T000000,243500,4,2.5,1980,7403,2,3,7,1988
5036300431,20150311T000000,1.10E+06,5,2.75,3520,6353,2,4,10,2001
4168000060,20150226T000000,153000,3,1,1200,10500,1,3,7,1962
6021501535,20140725T000000,430000,3,1.5,1580,5000,1,3,8,1939
6021501535,20141223T000000,700000,3,1.5,1580,5000,1,3,8,1939
1483300570,20140908T000000,905000,4,2.5,3300,10250,1,3,7,1946
